,starting coordinate,ending coordinate,vertices,issues ID,severe issue,minor issue,total distance,ave_severe_issue/meter,ave_minor_issue/meter,elevation
0,"47.6499263,-122.3042552","47.6497884,-122.3058385","[(47.6499263, -122.3042552), (47.6492056, -122.3043985), (47.6492057, -122.3044021), (47.6492106, -122.3047417), (47.6497884, -122.3058385)]",[],0,0,231.773182019,0,0,"[0.0094, 0.0, 0.0, 0.0084]"
1,"47.6499263,-122.3042552","47.6515017,-122.3034223","[(47.6499263, -122.3042552), (47.6510309, -122.3037073), (47.6515017, -122.3034223)]",[],0,0,178.33620867,0,0,"[0.0094, 0.0149]"
2,"47.6127435,-122.3416718","47.6129279,-122.3415811","[(47.6127435, -122.3416718), (47.6130495, -122.3421895), (47.6131862, -122.342018), (47.6129279, -122.3415811)]",[46775],0,1,132.823159331,0,0.007528807513963308,"[-0.0179, -0.0502, 0.017]"
3,"47.5794123,-122.3115482","47.5792432,-122.3123232","[(47.5794123, -122.3115482), (47.5794183, -122.3108274), (47.5795277, -122.3108461), (47.5795249, -122.3120239), (47.5795254, -122.312196), (47.5794157, -122.3121701), (47.5793696, -122.3122797), (47.5793211, -122.3123948), (47.5792604, -122.312339), (47.5792432, -122.3123232)]","[32453, 32507, 32512, 141870, 141871]",1,4,264.403971223,0.003782091454122107,0.015128365816488428,"[0.0093, 0.0082, -0.0113, 0.0077, 0.0081, 0.005, 0.005, -0.0104, -0.0104]"
4,"47.6123308,-122.3409861","47.6124472,-122.3411707","[(47.6123308, -122.3409861), (47.6123891, -122.3410725), (47.6124472, -122.3411707)]",[],0,0,21.8329969497,0,0,"[-0.0055, -0.0179]"
5,"47.6499263,-122.3042552","47.6506801,-122.304307","[(47.6499263, -122.3042552), (47.6492056, -122.3043985), (47.6492057, -122.3044021), (47.6492106, -122.3047417), (47.6506801, -122.304307)]",[],0,0,261.049230761,0,0,"[0.0094, 0.0, 0.0, -0.0069]"
6,"47.615489,-122.195526","47.615367,-122.195157","[(47.615489, -122.195526), (47.615367, -122.195157)]",[],0,0,0.0,0,0,[0.0]
7,"47.615281,-122.196128","47.615594,-122.194758","[(47.615281, -122.196128), (47.615594, -122.194758)]",[],0,0,0.0,0,0,[0.0]
8,"47.774343,-122.34206","47.774241,-122.342385","[(47.774343, -122.34206), (47.774241, -122.342385)]",[],0,0,0.0,0,0,[0.0]
9,"47.6198381,-122.3203331","47.6198388,-122.3202251","[(47.6198381, -122.3203331), (47.6198352, -122.3207373), (47.6198388, -122.3202251)]",[],0,0,91.6423054292,0,0,"[0.0098, 0.0098]"
10,"47.6499263,-122.3042552","47.65097,-122.3048138","[(47.6499263, -122.3042552), (47.6492056, -122.3043985), (47.6492057, -122.3044021), (47.6492106, -122.3047417), (47.6509786, -122.3041362), (47.6511165, -122.3041929), (47.6511273, -122.3041973), (47.65097, -122.3048138)]",[],0,0,374.387076078,0,0,"[0.0094, 0.0, 0.0, -0.0069, 0.035, 0.035, -0.0126]"
11,"47.5976937,-122.3291872","47.599912,-122.3291147","[(47.5976937, -122.3291872), (47.5976036, -122.3291933), (47.5966077, -122.329252), (47.5965913, -122.3292535), (47.5965906, -122.329235), (47.5965774, -122.3289158), (47.5976033, -122.3288488), (47.5984219, -122.3288559), (47.5987623, -122.3288614), (47.5987622, -122.3288644), (47.5987604, -122.3291182), (47.5991129, -122.3291172), (47.5992964, -122.3291164), (47.599912, -122.3291147)]","[25876, 25878, 25922, 25926, 25976]",4,1,503.796348924,0.007939716134390335,0.0019849290335975838,"[-0.0011, 0.0008, 0.0008, -0.0039, -0.0039, -0.0009, 0.0, 0.0013, 0.0155, 0.0155, 0.0, -0.0049, 0.0258]"
12,"47.7014393,-122.3271262","47.7014402,-122.3271739","[(47.7014393, -122.3271262), (47.701441, -122.3272178), (47.7014402, -122.3271739)]",[],0,0,13.5523062439,0,0,"[0.0252, 0.0252]"
13,"47.6142582,-122.3442338","47.6142876,-122.3442834","[(47.6142582, -122.3442338), (47.6145873, -122.3447903), (47.6142876, -122.3442834)]","[10729, 10732]",1,1,123.539831785,0.008094555298892567,0.008094555298892567,"[-0.0144, -0.0144]"
14,"47.6098136,-122.3378443","47.6101895,-122.3369711","[(47.6098136, -122.3378443), (47.609862, -122.3377538), (47.6101895, -122.3369711)]",[],0,0,95.108427469,0,0,"[0.0055, -0.0013]"
15,"47.6108325,-122.3389395","47.6110949,-122.3388601","[(47.6108325, -122.3389395), (47.6107619, -122.3388745), (47.6108609, -122.3386489), (47.6110949, -122.3388601)]",[],0,0,65.7548220105,0,0,"[0.0222, -0.0297, -0.0208]"
16,"47.5976937,-122.3291872","47.5991127,-122.3289937","[(47.5976937, -122.3291872), (47.5976036, -122.3291933), (47.5966077, -122.329252), (47.5965913, -122.3292535), (47.5965906, -122.329235), (47.5965774, -122.3289158), (47.5976033, -122.3288488), (47.5984219, -122.3288559), (47.5987623, -122.3288614), (47.5987622, -122.3288644), (47.5987604, -122.3291182), (47.5991129, -122.3291172), (47.5991127, -122.3289937)]","[25876, 25878, 25922, 25926, 25976]",4,1,436.235956002,0.009169349625958268,0.002292337406489567,"[-0.0011, 0.0008, 0.0008, -0.0039, -0.0039, -0.0009, 0.0, 0.0013, 0.0155, 0.0155, 0.0, -0.0106]"
17,"47.6082155,-122.3365315","47.6070904,-122.3382749","[(47.6082155, -122.3365315), (47.608653, -122.3369319), (47.6087306, -122.336717), (47.6088798, -122.3368186), (47.6097311, -122.3375968), (47.6096436, -122.3378701), (47.6092845, -122.3387288), (47.6084005, -122.3379202), (47.6082817, -122.3378208), (47.6081739, -122.3380641), (47.6078105, -122.3389335), (47.6070904, -122.3382749)]",[10588],0,1,691.036983527,0,0.0014471005515455482,"[0.0, 0.0491, 0.011, 0.0018, 0.0044, -0.0145, -0.0364, -0.0132, 0.1006, -0.0351, -0.0693]"
18,"47.5976937,-122.3291872","47.598357,-122.3277821","[(47.5976937, -122.3291872), (47.5976036, -122.3291933), (47.5966077, -122.329252), (47.5965913, -122.3292535), (47.5965906, -122.329235), (47.5965774, -122.3289158), (47.5976033, -122.3288488), (47.5984219, -122.3288559), (47.5987623, -122.3288614), (47.5987622, -122.3288644), (47.5987604, -122.3291182), (47.5991129, -122.3291172), (47.5991125, -122.328867), (47.5992919, -122.3288586), (47.5992903, -122.3277912), (47.5991109, -122.327776), (47.5990945, -122.3275567), (47.5984319, -122.3275596), (47.5984327, -122.3277785), (47.5984327, -122.3277815), (47.598357, -122.3277821)]","[25876, 25878, 25922, 25926, 25976, 25653, 25669]",5,2,709.622279226,0.007046002001875946,0.0028184008007503783,"[-0.0011, 0.0008, 0.0008, -0.0039, -0.0039, -0.0009, 0.0, 0.0013, 0.0155, 0.0155, 0.0, -0.0106, -0.0501, 0.0474, 0.0451, 0.1869, -0.0299, -0.1019, -0.1019, 0.0095]"
19,"47.6116284,-122.3367809","47.6106591,-122.3384829","[(47.6116284, -122.3367809), (47.6116961, -122.3366177), (47.6115757, -122.3365146), (47.610716, -122.3357277), (47.6105778, -122.3355918), (47.6101969, -122.3365027), (47.6100898, -122.3367396), (47.6097311, -122.3375968), (47.609862, -122.3377538), (47.6106591, -122.3384829)]","[39605, 10563, 10566, 39678, 10565]",0,5,515.568844002,0,0.009698025895418863,"[-0.0117, 0.0194, -0.024, 0.0163, -0.0062, 0.0047, -0.0066, -0.0214, -0.0215]"
20,"47.644647,-122.133806","47.644613,-122.132426","[(47.644647, -122.133806), (47.644613, -122.132426)]",[],0,0,0.0,0,0,[0.0]
21,"47.608821,-122.3369371","47.6082842,-122.3363085","[(47.608821, -122.3369371), (47.6088798, -122.3368186), (47.6087306, -122.336717), (47.6082842, -122.3363085)]",[],0,0,91.7893904365,0,0,"[0.0574, 0.011, 0.009]"
22,"47.4640362,-122.2880108","47.464207,-122.288452","[(47.4640362, -122.2880108), (47.464207, -122.288452)]",[],0,0,0.0,0,0,[0.0]
